"id","submitted","areas_of_interest","subinterests"
26012,1399272607,NULL,NULL
27571,1403622377,NULL,NULL
20668,1386713583,"Advertising,Commerce,Enterprise Software,Mobile,Recruiting,Small Businesses",NULL
26613,1400668405,NULL,NULL
21882,1390321071,"Advertising,Healthcare,Local,Small Businesses",NULL
27099,1402091207,NULL,NULL
25325,1397190179,NULL,NULL
27294,1402691390,NULL,NULL
24464,1395124079,NULL,NULL
25368,1397429714,"Enterprise Software,Green,Local,Productivity Tools,Small Businesses,Social Impact",""
18703,1381881124,"Cloud Services,Enterprise Software,Mobile",NULL
17911,1380189626,"Commerce,Consumer Electronics,Enterprise Software,Fashion,Payments,Photos,Productivity Tools,Travel",NULL
17912,1380206007,"Advertising,Cloud Services,Commerce,Data & Analytics,Enterprise Software,Fashion,Green,Mobile,Photos,Small Businesses",NULL
17913,1380206977,"3D Printing,Hardware,Productivity Tools,Robotics,Small Businesses,Smart Home,Transportation,Wearable Tech",NULL
17914,1380212682,"Advertising,Productivity Tools",NULL
19789,1384718417,"Cloud Services,Consumer Electronics,Enterprise Software,Events,Fashion,Green,Healthcare,Local,Media,Mobile,Music,Productivity Tools,Small Businesses,Smart Home,Social Impact,Sports,Transportation,Travel,Wearable Tech","Fitness,Nutrition,Quantified-self,Wellness,Content,Movies/Film"
19876,1384883162,"Enterprise Software",NULL
22984,1392327596,NULL,NULL
26653,1400728432,NULL,NULL
16159,1376974602,"Commerce,Data & Analytics,Education,Events,Green,Healthcare,Local,Media,Mobile,Music,Payments,Small Businesses,Social Impact,Travel,Video","Lifelong Learning (outside of school),Fitness,Nutrition,Quantified-self,Wellness,Content,Movies/Film,News,TV"
20490,1386268477,"Data & Analytics,Enterprise Software,Smart Home,Social Impact,Travel",NULL
22914,1392252927,"Advertising,Cloud Services,Commerce,Data & Analytics,Local,Media,Mobile,Small Businesses,Smart Home,Video,Wearable Tech","Content,TV"
16214,1377055501,"Consumer Electronics,Hardware,Payments",NULL
20483,1386261977,"Local,Small Businesses",""
28396,1406325034,NULL,NULL
15080,1375084211,"Media,Small Businesses,Video","Content"
26405,1400262313,NULL,NULL
27755,1404303605,NULL,NULL
23996,1393966085,NULL,NULL
19755,1384556348,"Enterprise Software,Financial Services,Payments",""
26370,1400184364,NULL,NULL
16730,1377945902,"Cloud Services,Commerce,Consumer Electronics,Enterprise Software,Green,Media,Mobile,Productivity Tools,Smart Home","Content"
15347,1375428105,"Advertising,Cloud Services,Commerce,Data & Analytics,Enterprise Software,Events,Financial Services,Media,Mobile,Productivity Tools,Recruiting,Small Businesses,Sports,Travel","Content,Movies/Film,News,TV"
15348,1375436143,"Advertising,Data & Analytics,Media,Mobile,Photos","Content"
15607,1375894679,"Advertising,Cloud Services,Commerce,Enterprise Software,Fashion,Games,Green,Hardware,Healthcare,Media,Mobile,Music,Small Businesses,Sports,Travel","Content,Movies/Film,News,TV"
15349,1375438756,"Education,Family,Music,Youth Leadership",NULL
15350,1375440771,"Education,Small Businesses,Social Impact",NULL
24304,1394659116,"3D Printing,Consumer Electronics,Education,Enterprise Software,Mobile,Robotics","Edutainment,In-classroom learning (K-12),Lifelong Learning (outside of school)"
27011,1401852631,NULL,NULL
20675,1386721217,"Advertising,Commerce,Fashion,Sports",NULL
24412,1395000075,"Financial Services",""
