,user_id,movie_id,rating,timestamp,gender,age,occupation,zip,title,genres,for_testing
927363,3887,2879,4,965807749,M,18,4,80513,Operation Condor (Feiying gaiwak) (1990),Action|Adventure|Comedy,False
764288,5788,2053,1,958110172,M,25,0,92646,"Honey, I Blew Up the Kid (1992)",Children's|Comedy|Sci-Fi,False
27879,5344,527,5,960677889,F,50,1,98177,Schindler's List (1993),Drama|War,False
377523,5848,1589,4,957783018,M,50,20,20009,Cop Land (1997),Crime|Drama|Mystery,False
498263,3261,1042,3,968937812,M,45,20,87505,That Thing You Do! (1996),Comedy,False
878443,2063,3615,4,974667637,M,25,4,43138,Dinosaur (2000),Animation|Children's,False
943090,1768,3791,3,974701925,M,45,16,75067,Footloose (1984),Drama,False
35133,715,588,4,979578293,M,18,0,53715,Aladdin (1992),Animation|Children's|Comedy|Musical,False
132983,3868,736,3,966034370,M,18,12,73112,Twister (1996),Action|Adventure|Romance|Thriller,False
885390,5323,3509,3,960846972,M,25,20,94122,Black and White (1999),Drama,False
301747,5847,1732,3,957794118,F,18,4,02464,"Big Lebowski, The (1998)",Comedy|Crime|Mystery|Thriller,False
543087,1449,3194,2,976313624,M,35,20,17112,"Way We Were, The (1973)",Drama,False
993343,4312,2465,3,965698330,M,25,18,78757,Deadly Friend (1986),Horror,False
784409,453,455,3,976244816,M,18,4,55102,Free Willy (1993),Adventure|Children's|Drama,False
730822,5070,1249,4,962469052,M,25,2,55344,Nikita (La Femme Nikita) (1990),Thriller,False
587043,3940,1263,5,965695239,M,35,20,32708,"Deer Hunter, The (1978)",Drama|War,False
118977,5504,480,5,959733942,M,45,7,85287-2702,Jurassic Park (1993),Action|Adventure|Sci-Fi,False
340678,4543,17,4,966915811,M,25,2,11105,Sense and Sensibility (1995),Drama|Romance,False
279463,3885,2734,4,967652452,M,25,12,92728,"Mosquito Coast, The (1986)",Drama,False
900148,5974,1051,2,956948219,F,25,1,32303,Trees Lounge (1996),Drama,False
374162,3958,253,4,965672523,M,45,7,46112,Interview with the Vampire (1994),Drama|Horror,False
592433,1758,141,4,974790138,F,25,0,33067-1400,"Birdcage, The (1996)",Comedy,False
294428,543,1513,2,976215099,M,25,5,55057,Romy and Michele's High School Reunion (1997),Comedy,False
648767,1124,2542,5,976139287,M,25,2,60156,"Lock, Stock & Two Smoking Barrels (1998)",Comedy|Crime|Thriller,False
545167,4335,1302,5,965338667,M,35,0,74011,Field of Dreams (1989),Drama,False
18480,92,2687,4,986187275,F,18,4,44243,Tarzan (1999),Animation|Children's,False
343935,2258,1806,4,980136342,F,18,4,10033,Paulie (1998),Adventure|Children's|Comedy,False
359007,4055,3148,4,965495106,M,50,0,98826,"Cider House Rules, The (1999)",Drama,False
90572,5026,3147,4,962571696,M,25,17,92584,"Green Mile, The (1999)",Drama|Thriller,False
254517,2010,377,3,974676243,M,18,4,81520,Speed (1994),Action|Romance|Thriller,False
18238,5124,2791,3,962201176,M,35,2,20818,Airplane! (1980),Comedy,False
10205,5705,2804,5,958544451,F,18,4,90024,"Christmas Story, A (1983)",Comedy|Drama,False
555087,6035,216,2,956713116,F,25,1,78734,Billy Madison (1995),Comedy,False
636587,929,293,5,975190486,M,25,15,53706,"Professional, The (a.k.a. Leon: The Professional) (1994)",Crime|Drama|Romance|Thriller,False
575365,493,999,4,976214531,M,50,7,55016,2 Days in the Valley (1996),Crime,False
703925,3285,3752,5,968115579,M,25,4,44706,"Me, Myself and Irene (2000)",Comedy,False
334867,623,3753,3,978751345,M,25,17,60555,"Patriot, The (2000)",Action|Drama|War,False
759777,3336,2352,3,968096204,M,35,17,93436,"Big Chill, The (1983)",Comedy|Drama,False
331718,4416,383,3,965659236,M,18,4,02134,Wyatt Earp (1994),Western,False
816033,3547,3504,4,966915313,M,35,16,94108,Network (1976),Comedy|Drama,False
536824,5418,2529,5,960183513,F,25,0,53589,Planet of the Apes (1968),Action|Sci-Fi,False
178171,996,356,5,975052873,M,25,17,98102,Forrest Gump (1994),Comedy|Romance|War,False
325339,979,1101,3,979497525,M,1,10,48073,Top Gun (1986),Action|Romance,False
237691,699,2058,3,975564983,M,18,0,73505,"Negotiator, The (1998)",Action|Thriller,False
6055,390,1197,3,976313044,M,25,4,55405,"Princess Bride, The (1987)",Action|Adventure|Comedy|Romance,False
664781,1675,405,3,974711873,F,25,6,97116,Highlander III: The Sorcerer (1994),Action|Sci-Fi,False
494553,2484,3066,3,974145678,M,45,5,31901,Tora! Tora! Tora! (1970),War,False
831362,2439,1835,2,974224119,M,45,17,48105,City of Angels (1998),Romance,False
134319,2246,1198,4,974596456,M,25,0,60622,Raiders of the Lost Ark (1981),Action|Adventure,False
943546,1059,851,3,974951679,F,25,0,97213,Basquiat (1996),Drama,False
762185,3526,1920,3,967615700,M,35,2,62263-3004,Small Soldiers (1998),Animation|Children's|Fantasy|War,False
99657,2485,2490,4,974146138,M,35,14,95746,Payback (1999),Action|Thriller,False
360756,3589,151,5,966656606,F,45,0,80010,Rob Roy (1995),Drama|Romance|War,False
610856,245,70,2,976732308,M,35,16,66046,From Dusk Till Dawn (1996),Action|Comedy|Crime|Horror|Thriller,False
176715,4867,1968,4,962849700,M,25,16,04101,"Breakfast Club, The (1985)",Comedy|Drama,False
620852,4436,2568,4,965101252,M,25,12,19067,"Mod Squad, The (1999)",Action|Crime,False
765248,149,3360,4,977588938,M,25,1,29205,Hoosiers (1986),Drama,False
62431,2781,2194,4,977333908,M,35,4,45205,"Untouchables, The (1987)",Action|Crime|Drama,False
14885,2162,2918,4,974616749,F,1,10,35810,Ferris Bueller's Day Off (1986),Comedy,False
521802,3390,539,3,967601616,F,45,20,02476,Sleepless in Seattle (1993),Comedy|Romance,False
629768,4812,164,3,962932095,M,18,14,25301,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller,False
647433,2526,2533,5,974067489,M,56,13,37923,Escape from the Planet of the Apes (1971),Action|Sci-Fi,False
615225,3967,3261,4,967551367,F,18,2,13603,Singles (1992),Comedy|Drama|Romance,False
676795,5225,1064,2,961517647,M,18,4,55120,Aladdin and the King of Thieves (1996),Animation|Children's|Comedy,False
492078,1068,1967,4,974946222,F,18,4,77581,Labyrinth (1986),Adventure|Children's|Fantasy,False
431997,3808,2496,3,965966854,M,25,7,60010,Blast from the Past (1999),Comedy|Romance,False
641029,549,1206,5,976119253,M,25,6,53217,"Clockwork Orange, A (1971)",Sci-Fi,False
